"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","NTL_PPM","PTL_PPB","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","TP_mol"
"762",2010953,"NLA17_NE-10072",1,"20-Sep-17",3.65,1136.75,"PROB","SPL","Southern Plains",-96.9964,40.3155,"Region_07",23.14860145,"Non-Urban","MAN_MADE",4.39003,428,"H10270202","NLA_NE-10206",7.10030050749233,0.000260583993717427,3.67004176009811e-05
"763",2010954,"NLA17_ND-10137",1,"20-Sep-17",1.91,50,"PROB","TPL","Temperate Plains",-100.3457,48.88215,"Region_08",27.69623785,"Non-Urban","NATURAL",33.15958,667,"H09010003","NLA_ND-10237",84.4718860800742,0.000136360391232955,1.61426952280542e-06
"764",2010955,"NLA17_ND-10139",1,"21-Sep-17",4.52,120,"PROB","TPL","Temperate Plains",-100.1792,48.15853,"Region_08",27.69623785,"Non-Urban","NATURAL",33.92804,456,"H09010002","NLA_ND-10239",83.2925229236334,0.000322695794959663,3.874246854733e-06
"765",2010956,"NLA17_TX-10048",1,"22-Sep-17",0.735,20.41,"PROB","CPL","Coastal Plains",-95.32517,29.16044,"Region_06",125.1083547,"Urban","MAN_MADE",37.73518,1,"H12040205","NLA_TX-10098",79.6330156771198,5.24737631184408e-05,6.58944819209171e-07
"766",2010957,"NLA17_ND-10144",1,"22-Sep-17",3.71,120,"PROB","NPL","Northern Plains",-100.8327,47.43886,"Region_08",24.88253601,"Non-Urban","NATURAL",23.28195,578,"H10130101","NLA_ND-10244",68.3662079749292,0.000264867566216892,3.874246854733e-06
"767",2010958,"NLA17_MO-10043",1,"25-Sep-17",0.993,46.89875,"PROB","TPL","Temperate Plains",-91.64976,39.5984,"Region_07",415.9088751,"Non-Urban","MAN_MADE",1.710287,197,"H10160006","NLA_MO-10085",46.8205821455426,7.08931248661384e-05,1.51414445565341e-06
"768",2010959,"NLA17_OR-10005",1,"25-Sep-17",0.013,0.2375,"PROB","WMT","Western Mountains",-122.0436,43.73001,"Region_10",9.2624669,"Non-Urban","NATURAL",2443.702,1651,"H17090001","NLA_OR-10034",121.039902897874,9.28107374883987e-07,7.66778023332573e-09
"769",2010960,"NLA17_OK-10097",1,"25-Sep-17",1.464,145.1375,"PROB","TPL","Temperate Plains",-95.15494,36.92047,"Region_06",202.0908498,"Non-Urban","MAN_MADE",1.730511,250,"H11070209","NLA_OK-10195",22.305412897632,0.000104519168986935,4.68582085732342e-06
"770",2010961,"NLA17_OR-10086",1,"26-Sep-17",0.166,9.4025,"PROB","WMT","Western Mountains",-122.0174,43.79623,"Region_10",6.838557646,"Non-Urban","NATURAL",27.72972,1612,"H17090001","NLA_OR-10045",39.0403384676637,1.18512172485186e-05,3.03563383763559e-07
"771",2010962,"NLA17_TX-10112",1,"26-Sep-17",0.713,39.20875,"PROB","XER","Xeric",-103.8457,29.68658,"Region_06",99.13429096,"Non-Urban","MAN_MADE",6.937406,1143,"H13040204","NLA_TX-10279",40.211971046433,5.09031198686371e-05,1.26586980304594e-06
"772",2010963,"NLA17_RI-10001",2,"27-Sep-17",0.493,16.92375,"PROB","NAP","Northern Appalachians",-71.68264,41.8915,"Region_01",16.49543924,"Urban","MAN_MADE",93.7524,128,"H01090003","NLA_RI-10040",64.4167999252524,3.51966873706004e-05,5.46389876731563e-07
"773",2010964,"NLA17_NJ-10006",1,"26-Sep-17",0.201,3.57875,"PROB","SAP","Southern Appalachians",-74.99616,41.03964,"Region_02",12.89932194,"Non-Urban","NATURAL",9.501911,362,"H02040105","NLA_NJ-10021",124.197691815197,1.43499678732063e-05,1.15541341094798e-07
"774",2010965,"NLA17_SD-10098",1,"26-Sep-17",2.159,286.4425,"PROB","NPL","Northern Plains",-101.4055,45.58044,"Region_08",41.05143967,"Non-Urban","MAN_MADE",4.195726,673,"H10130303","NLA_SD-10238",16.6672525119946,0.000154137217105733,9.24790795572381e-06
"775",2010966,"NLA17_ND-10103",1,"27-Sep-17",3.343,592.95,"PROB","NPL","Northern Plains",-100.979,46.19398,"Region_08",151.0216927,"Non-Urban","NATURAL",1.129953,572,"H10130102","NLA_ND-10203",12.4671484694589,0.000238666381095167,1.91436222709494e-05
"776",2010967,"NLA17_OK-HP004",1,"29-Sep-17",0.473,27.2075,"HAND","SPL","Southern Plains",-98.60605,34.67943,"Region_06",0,"Non-Urban","MAN_MADE",1.977553,418.62,"H11130203","NLA_OK-10199",38.4433593446093,3.37688298707789e-05,8.78404760834567e-07
"777",2010968,"NLA17_OR-10134",1,"28-Sep-17",0.2325,10,"PROB","WMT","Western Mountains",-122.2137,43.82854,"Region_10",42.65136929,"Non-Urban","NATURAL",2.979115,1461,"H17090001","NLA_OR-10228",51.4128626010923,1.65988434354251e-05,3.22853904561083e-07
"778",2010969,"NLA17_TX-10144",1,"2-Oct-17",1.05,138.049,"PROB","SPL","Southern Plains",-99.89924,33.53819,"Region_06",42.97013197,"Non-Urban","MAN_MADE",19.56663,463,"H12060101","NLA_TX-10311",16.8191816981136,7.49625187406297e-05,4.4569658670753e-06
