"","VISIT_ID","NTL_PPM","PTL_PPB","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","AGGR_ECO9_2015","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","tn.tp","TN_mol","TP_mol"
"21",1000034,0.5,24,"NLA12_WI-152",1,"7/2/2012","PROB",-88.61516896,42.59803618,"Region_5",19.34532864,"Yes","NATURAL",712.9395732,282.49,7090001,"NLA_WI-10087","TPL","Poor","Good","Good","Mesotrophic",46.0688732984698,3.56964374955379e-05,7.748493709466e-07
"22",1000039,1.67,12,"NLA12_WI-113",1,"7/5/2012","PROB",-89.30356704,43.81355964,"Region_5",61.51024902,"No","NATURAL",7.476834304,240.76,4030201,"NLA_WI-10048","UMW","Good","Poor","Good","Mesotrophic",307.740073633778,0.000119226101235097,3.874246854733e-07
"23",1000043,0.398,10,"NLA12_MI-151",1,"7/9/2012","PROB",-84.53228457,42.69438266,"Region_5",137.3026588,"Yes","MAN_MADE",8.421188949,251.36,4050004,"NLA_MI-10118","UMW","Good","Good","Good","Mesotrophic",88.0099755493967,2.84143642464482e-05,3.22853904561083e-07
"24",1000044,0.72,18,"NLA12_WI-117",1,"7/10/2012","PROB",-89.21610906,44.0425333,"Region_5",61.51024902,"No","NATURAL",6.228535462,260.89,4030201,"NLA_WI-10052","UMW","Good","Good","Good","Mesotrophic",88.452236733062,5.14028699935746e-05,5.8113702820995e-07
"25",1000046,1.559,31,"NLA12_MI-139",1,"7/10/2012","PROB",-84.90798786,42.38808843,"Region_5",325.1169051,"No","NATURAL",2.696718707,282.31,4050003,"NLA_MI-10106","UMW","Fair","Poor","Fair","Eutrophic",111.207287957132,0.000111301492111087,1.00084710413936e-06
"26",1000047,0.616,38,"NLA12_MI-124",1,"7/10/2012","PROB",-86.14530228,43.37342619,"Region_5",68.23819077,"Yes","NATURAL",20.7984169,198.02,4060102,"NLA_MI-10091","UMW","Good","Good","Fair","Mesotrophic",35.8464327812936,4.39780109945028e-05,1.22684483733212e-06
"27",1000048,3.925,590,"NLA12_TX-117",2,"7/10/2012","PROB",-95.73801377,33.06712109,"Region_6",24.85716519,"No","MAN_MADE",14.71439965,148.99,12010003,"NLA_TX-10097",NA,NA,NA,NA,NA,14.7108063210707,0.000280217034339973,1.90483803691039e-05
"28",1000049,0.016,62,"NLA12_OR-106",1,"7/10/2012","PROB",-122.0454265,44.31314071,"Region_10",14.60346988,"No","MAN_MADE",63.69158062,795.16,17090004,"NLA_OR-10031","WMT","Good","Good","Poor","Oligotrophic",0.570659591826207,1.14228599985721e-06,2.00169420827872e-06
"29",1000050,0.74,21,"NLA12_WI-136",1,"7/11/2012","PROB",-88.45502863,43.05664122,"Region_5",14.23263464,"Yes","NATURAL",21.88736741,263.67,7090001,"NLA_WI-10071","TPL","Poor","Good","Good","Mesotrophic",77.9222085505547,5.28307274933962e-05,6.77993199578275e-07
"30",1000052,0.569,44,"NLA12_MI-109",1,"7/11/2012","PROB",-85.19033981,42.62319809,"Region_5",12.79786549,"No","NATURAL",177.5017494,241.34,4050007,"NLA_MI-10037","UMW","Good","Good","Poor","Eutrophic",28.5962060801774,4.06225458699222e-05,1.42055718006877e-06
"31",1000053,0.805,35,"NLA12_TX-109",1,"7/11/2012","PROB",-95.89431333,32.08995916,"Region_6",745.4687385,"No","MAN_MADE",5.361167783,116.46,12030201,"NLA_TX-10018","CPL","Good","Poor","Good","Eutrophic",50.8600361215107,5.74712643678161e-05,1.12998866596379e-06
"32",1000054,0.429,19,"NLA12_VT-109",1,"7/12/2012","PROB",-72.83550844,42.7469444,"Region_1",19.45340953,"No","NATURAL",10.89805771,516.79,1080203,"NLA_VT-10017","NAP","Fair","Fair","Fair","Eutrophic",49.9289599453732,3.06275433711716e-05,6.13422418666058e-07
"33",1000055,0.721,17,"NLA12_MI-136",1,"7/12/2012","PROB",-85.37979014,43.36480531,"Region_5",70.40204082,"No","NATURAL",19.92870769,278.58,4060102,"NLA_MI-10103","UMW","Good","Good","Good","Mesotrophic",93.7853863007908,5.14742628685657e-05,5.48851637753842e-07
"34",1000056,0.546,44,"NLA12_MI-105",1,"7/11/2012","PROB",-86.31568591,43.2314452,"Region_5",12.79786549,"Yes","NATURAL",1899.63343,176.65,4060102,"NLA_MI-10032","UMW","Good","Good","Poor","Eutrophic",27.4402961683249,3.89805097451274e-05,1.42055718006877e-06
"35",1000057,0.15,14,"NLA12_CA-R09",1,"7/12/2012","HAND",-119.2594305,38.04703186,"Region_9",NA,"No","NATURAL",3.827814934,2969.81,16050301,"NLA_CA-10040",NA,NA,NA,NA,NA,23.6925634106416,1.07089312486614e-05,4.51995466385517e-07
"36",1000058,0.72,26,"NLA12_MI-167",1,"7/12/2012","PROB",-84.20373932,42.9176234,"Region_5",137.3026588,"No","MAN_MADE",8.142607701,238.92,4050005,"NLA_MI-10134","UMW","Good","Good","Good","Eutrophic",61.2361638921199,5.14028699935746e-05,8.39420151858817e-07
"37",1000059,0.52,17,"NLA12_WI-168",1,"7/13/2012","PROB",-88.26962301,42.50962706,"Region_5",19.34532864,"Yes","NATURAL",293.706702,241.63,7120006,"NLA_WI-10103","TPL","Poor","Good","Good","Mesotrophic",67.6399457370474,3.71242949953595e-05,5.48851637753842e-07
"38",1000060,0.596,25,"NLA12_TX-124",1,"7/13/2012","PROB",-98.98190835,32.79752902,"Region_6",24.85716519,"No","MAN_MADE",6050.902632,360.68,12060105,"NLA_TX-10104","SPL","Good","Good","Good","Eutrophic",52.717533092905,4.25501534946812e-05,8.07134761402708e-07
"39",1000062,0.595,64,"NLA12_TX-148",1,"7/15/2012","PROB",-98.15099199,33.27090609,"Region_6",24.85716519,"Yes","MAN_MADE",20.20554838,291.01,12030101,"NLA_TX-10127","SPL","Good","Good","Poor","Mesotrophic",20.5582347094422,4.24787606196902e-05,2.06626498919093e-06
"40",1000063,3.84,132,"NLA12_WI-172",1,"7/14/2012","PROB",-89.29875291,43.49766607,"Region_5",14.23263464,"Yes","MAN_MADE",35.44372211,242.92,7070005,"NLA_WI-10107","TPL","Poor","Poor","Poor","Hypereutrophic",64.3288994422269,0.000274148639965731,4.2616715402063e-06
"41",1000066,0.558,14,"NLA12_MI-108",1,"7/16/2012","PROB",-86.21361091,42.08123991,"Region_5",102.986062,"Yes","NATURAL",81.73778302,232.46,4050001,"NLA_MI-10034","UMW","Good","Good","Good","Mesotrophic",88.1363358875868,3.98372242450204e-05,4.51995466385517e-07
"42",1000067,1.048,85,"NLA12_ID-149",1,"7/15/2012","PROB",-116.649551,46.68823022,"Region_10",12.10496977,"No","NATURAL",6.488524087,677.78,17060306,"NLA_ID-10098","WMT","Fair","Poor","Poor","Eutrophic",27.2641012047791,7.48197329906475e-05,2.74425818876921e-06
"43",1000068,0.303,77,"NLA12_ID-148",1,"7/16/2012","PROB",-116.8343671,46.20607125,"Region_10",3.290387433,"No","MAN_MADE",38.08818946,1034.14,17060103,"NLA_ID-10097","XER","Good","Good","Fair","Mesotrophic",8.70163237990838,2.1632041122296e-05,2.48597506512034e-06
"44",1000069,0.196,35,"NLA12_ID-103",1,"7/14/2012","PROB",-116.6151536,47.46589015,"Region_10",18.81939011,"No","NATURAL",399.5960538,648.7,17010303,"NLA_ID-10016","WMT","Poor","Good","Fair","Mesotrophic",12.3833131426287,1.39930034982509e-05,1.12998866596379e-06
